Область,Год,Население
Костанайская,2008,894192.0
Кызылординская,2008,632234.0
Мангистауская,2008,407403.0
Павлодарская,2008,746454.0
Северо-Казахстанская,2008,653921.0
Туркестанская 1,2008,2331505.0
Восточно-Казахстанская,2008,1417384.0
г. Астана,2008,602684.0
г. Алматы,2008,1324739.0
Республика Казахстан ,2009,15982370.0
Акмолинская,2009,738827.0
Актюбинская,2009,756782.0
Алматинская,2009,1804005.0
Атырауская,2009,509123.0
Западно-Казахстанская,2009,598342.0
Жамбылская,2009,1020796.0
Карагандинская,2009,1341207.0
Костанайская,2009,886329.0
Кызылординская,2009,677734.0
Мангистауская,2009,482631.0
Павлодарская,2009,742276.0
Северо-Казахстанская,2009,597534.0
Туркестанская 1,2009,2462782.0
Восточно-Казахстанская,2009,1396871.0
г. Астана,2009,605254.0
г. Алматы,2009,1361877.0
Республика Казахстан ,2010,16203274.0
Акмолинская,2010,735134.0
Актюбинская,2010,763591.0
Алматинская,2010,1836162.0
Атырауская,2010,520988.0
Западно-Казахстанская,2010,603858.0
Жамбылская,2010,1034487.0
Карагандинская,2010,1346822.0
Костанайская,2010,883379.0
Кызылординская,2010,689011.0
Мангистауская,2010,503241.0
Павлодарская,2010,744395.0
Северо-Казахстанская,2010,592791.0
Туркестанская 1,2010,2511580.0
Восточно-Казахстанская,2010,1398073.0
г. Астана,2010,649152.0
г. Алматы,2010,1390610.0
Республика Казахстан ,2011,16440470.0
Акмолинская,2011,733281.0
Актюбинская,2011,777501.0
Алматинская,2011,1872844.0
Атырауская,2011,532033.0
Западно-Казахстанская,2011,608334.0
Жамбылская,2011,1046260.0
Карагандинская,2011,1352217.0
Костанайская,2011,881656.0
Кызылординская,2011,700511.0
Мангистауская,2011,524185.0
Павлодарская,2011,746224.0
Северо-Казахстанская,2011,589421.0
Туркестанская 1,2011,2567611.0
Восточно-Казахстанская,2011,1398078.0
г. Астана,2011,697162.0
г. Алматы,2011,1413152.0
Республика Казахстан ,2012,16673933.0
Акмолинская,2012,731399.0
Актюбинская,2012,786390.0
Алматинская,2012,1908785.0
Атырауская,2012,542959.0
Западно-Казахстанская,2012,612581.0
Жамбылская,2012,1055822.0
Карагандинская,2012,1357969.0
Костанайская,2012,879635.0
Кызылординская,2012,712899.0
Мангистауская,2012,545789.0
Павлодарская,2012,747167.0
Северо-Казахстанская,2012,583772.0
Туркестанская 1,2012,2621472.0
Восточно-Казахстанская,2012,1395060.0
г. Астана,2012,742868.0
г. Алматы,2012,1449366.0
Республика Казахстан ,2013,16910246.0
Акмолинская,2013,732768.0
Актюбинская,2013,795871.0
Алматинская,2013,1946831.0
Атырауская,2013,555199.0
Западно-Казахстанская,2013,617735.0
Жамбылская,2013,1069785.0
Карагандинская,2013,1362777.0
Костанайская,2013,880116.0
Кызылординская,2013,726692.0
Мангистауская,2013,567770.0
Павлодарская,2013,749201.0
Северо-Казахстанская,2013,579700.0
Туркестанская 1,2013,2678739.0
Восточно-Казахстанская,2013,1394068.0
г. Астана,2013,778145.0
г. Алматы,2013,1474849.0
Республика Казахстан ,2014,17160855.0
Акмолинская,2014,735612.0
Актюбинская,2014,808985.0
Алматинская,2014,1984572.0
Атырауская,2014,567831.0
Западно-Казахстанская,2014,624085.0
Жамбылская,2014,1084369.0
Карагандинская,2014,1369658.0
Костанайская,2014,880968.0
Кызылординская,2014,739726.0
Мангистауская,2014,587431.0
Павлодарская,2014,752914.0
Северо-Казахстанская,2014,575945.0
Туркестанская 1,2014,2733053.0
Восточно-Казахстанская,2014,1394388.0
г. Астана,2014,814419.0
г. Алматы,2014,1506899.0
Республика Казахстан ,2015,17415715.0
Акмолинская,2015,736560.0
Актюбинская,2015,822557.0
Алматинская,2015,1921888.0
Атырауская,2015,581389.0
Западно-Казахстанская,2015,630056.0
Жамбылская,2015,1098489.0
Карагандинская,2015,1378121.0
Костанайская,2015,881569.0
Кызылординская,2015,753001.0
Мангистауская,2015,606843.0
Павлодарская,2015,755793.0
Северо-Казахстанская,2015,571830.0
Туркестанская 1,2015,2787906.0
Восточно-Казахстанская,2015,1395466.0
г. Астана,2015,852803.0
г. Алматы,2015,1641444.0
Республика Казахстан ,2016,17669896.0
Акмолинская,2016,744420.0
Актюбинская,2016,834808.0
Алматинская,2016,1947552.0
Атырауская,2016,594511.0
Западно-Казахстанская,2016,636980.0
Жамбылская,2016,1110749.0
Карагандинская,2016,1384810.0
Костанайская,2016,883806.0
Кызылординская,2016,765058.0
Мангистауская,2016,626774.0
Павлодарская,2016,758594.0
Северо-Казахстанская,2016,569594.0
Туркестанская 1,2016,2840871.0
Восточно-Казахстанская,2016,1396019.0
г. Астана,2016,872584.0
г. Алматы,2016,1702766.0
Республика Казахстан ,2017,17918214.0
Акмолинская,2017,734369.0
Актюбинская,2017,845679.0
Алматинская,2017,1983465.0
Атырауская,2017,607528.0
Западно-Казахстанская,2017,641513.0
Жамбылская,2017,1115307.0
Карагандинская,2017,1382734.0
Костанайская,2017,879134.0
Кызылординская,2017,773143.0
Мангистауская,2017,642824.0
Павлодарская,2017,757014.0
Северо-Казахстанская,2017,563300.0
Туркестанская 1,2017,1966336.0
Восточно-Казахстанская,2017,1389568.0
г. Астана,2017,972692.0
г. Алматы,2017,1751308.0
г. Шымкент,2017,912300.0
Республика Казахстан ,2018,18157337.0
Акмолинская,2018,738942.0
Актюбинская,2018,857711.0
Алматинская,2018,2017278.0
Атырауская,2018,620684.0
Западно-Казахстанская,2018,646927.0
Жамбылская,2018,1117218.0
Карагандинская,2018,1380537.0
Костанайская,2018,875616.0
Кызылординская,2018,783157.0
Мангистауская,2018,660317.0
Павлодарская,2018,754854.0
Северо-Казахстанская,2018,558584.0
Туркестанская 1,2018,1977028.0
Восточно-Казахстанская,2018,1383745.0
г. Астана,2018,1030577.0
г. Алматы,2018,1801993.0
г. Шымкент,2018,952169.0
Республика Казахстан ,2019,18395567.0
Акмолинская,2019,738587.0
Актюбинская,2019,869637.0
Алматинская,2019,2038935.0
Атырауская,2019,633791.0
Западно-Казахстанская,2019,652325.0
Жамбылская,2019,1125440.0
Карагандинская,2019,1378532.0
Костанайская,2019,872795.0
Кызылординская,2019,794335.0
Мангистауская,2019,678199.0
Павлодарская,2019,753853.0
Северо-Казахстанская,2019,554517.0
Туркестанская 1,2019,1983969.0
Восточно-Казахстанская,2019,1378527.0
г. Астана,2019,1078384.0
г. Алматы,2019,1854656.0
г. Шымкент,2019,1009085.0
Республика Казахстан ,2020,18631779.0
Акмолинская,2020,736735.0
Актюбинская,2020,881651.0
Алматинская,2020,2055724.0
Атырауская,2020,645280.0
Западно-Казахстанская,2020,656844.0
Жамбылская,2020,1130099.0
Карагандинская,2020,1376882.0
Костанайская,2020,868549.0
Кызылординская,2020,803531.0
Мангистауская,2020,698796.0
Павлодарская,2020,752169.0
Северо-Казахстанская,2020,548755.0
Туркестанская 1,2020,2016037.0
Восточно-Казахстанская,2020,1369597.0
г. Астана,2020,1136156.0
г. Алматы,2020,1916822.0
г. Шымкент,2020,1038152.0
Республика Казахстан ,2021,18879552.0
Акмолинская,2021,735566.0
Актюбинская,2021,894333.0
Алматинская,2021,2077967.0
Атырауская,2021,657110.0
Западно-Казахстанская,2021,661316.0
Жамбылская,2021,1139192.0
Карагандинская,2021,1375938.0
Костанайская,2021,864550.0
Кызылординская,2021,814588.0
Мангистауская,2021,719571.0
Павлодарская,2021,751012.0
Северо-Казахстанская,2021,543735.0
Туркестанская 1,2021,2044742.0
Восточно-Казахстанская,2021,1363797.0
г. Астана,2021,1184411.0
г. Алматы,2021,1977258.0
г. Шымкент,2021,1074466.0
Республика Казахстан ,2022,19503159.0
Абай,2022,611888.0
Акмолинская,2022,785708.0
Актюбинская,2022,916750.0
Алматинская,2022,1478496.0
Атырауская,2022,681241.0
Западно-Казахстанская,2022,683327.0
Жамбылская,2022,1209665.0
Жетісу,2022,698757.0
Карагандинская,2022,1134966.0
Костанайская,2022,835686.0
Кызылординская,2022,823251.0
Мангистауская,2022,745909.0
Павлодарская,2022,756511.0
Северо-Казахстанская,2022,539111.0
Туркестанская 1,2022,2088510.0
Ұлытау,2022,220913.0
Восточно-Казахстанская,2022,732966.0
г. Астана,2022,1295711.0
г. Алматы,2022,2101485.0
г. Шымкент,2022,1162308.0
Республика Казахстан ,2023,19766807.0
Абай,2023,610205.0
Акмолинская,2023,788023.0
Актюбинская,2023,928161.0
Алматинская,2023,1505968.0
Атырауская,2023,693085.0
Западно-Казахстанская,2023,688129.0
Жамбылская,2023,1218170.0
Жетісу,2023,698729.0
Карагандинская,2023,1134854.0
Костанайская,2023,832237.0
Кызылординская,2023,833676.0
Мангистауская,2023,767107.0
Павлодарская,2023,754949.0
Северо-Казахстанская,2023,534108.0
Туркестанская 1,2023,2119320.0
Ұлытау,2023,221426.0
Восточно-Казахстанская,2023,730236.0
г. Астана,2023,1354507.0
г. Алматы,2023,2161797.0
г. Шымкент,2023,1192120.0
