Область,Год,Население
Республика Казахстан ,2005,15074767
Абай,2005,
Акмолинская,2005,747185
Актюбинская,2005,678607
Алматинская,2005,1589751
Атырауская,2005,463466
ЗападноКазахстанская,2005,606534
Жамбылская,2005,992089
Жетісу,2005,
Карагандинская,2005,1331702
Костанайская,2005,907396
Кызылординская,2005,612048
Мангистауская,2005,361754
Павлодарская,2005,743826
СевероКазахстанская,2005,665936
Туркестанская 1,2005,2193556
Ұлытау,2005,
ВосточноКазахстанская,2005,1442097
г. Астана,2005,529335
г. Алматы,2005,1209485
г. Шымкент,2005,
Республика Казахстан ,2006,15219291
Абай,2006,
Акмолинская,2006,746652
Актюбинская,2006,686698
Алматинская,2006,1603758
Атырауская,2006,472384
ЗападноКазахстанская,2006,609291
Жамбылская,2006,1001094
Жетісу,2006,
Карагандинская,2006,1334438
Костанайская,2006,903178
Кызылординская,2006,618249
Мангистауская,2006,374430
Павлодарская,2006,742911
СевероКазахстанская,2006,663126
Туркестанская 1,2006,2233568
Ұлытау,2006,
ВосточноКазахстанская,2006,1431180
г. Астана,2006,550438
г. Алматы,2006,1247896
г. Шымкент,2006,
Республика Казахстан ,2007,15396878
Абай,2007,
Акмолинская,2007,748559
Актюбинская,2007,695454
Алматинская,2007,1620696
Атырауская,2007,480687
ЗападноКазахстанская,2007,612479
Жамбылская,2007,1009210
Жетісу,2007,
Карагандинская,2007,1339368
Костанайская,2007,900333
Кызылординская,2007,625070
Мангистауская,2007,390531
Павлодарская,2007,744860
СевероКазахстанская,2007,660950
Туркестанская 1,2007,2282474
Ұлытау,2007,
ВосточноКазахстанская,2007,1424513
г. Астана,2007,574448
г. Алматы,2007,1287246
г. Шымкент,2007,
Республика Казахстан ,2008,15571506
Абай,2008,
Акмолинская,2008,747447
Актюбинская,2008,703660
Алматинская,2008,1643278
Атырауская,2008,490369
ЗападноКазахстанская,2008,615310
Жамбылская,2008,1018845
Жетісу,2008,
Карагандинская,2008,1342081
Костанайская,2008,894192
Кызылординская,2008,632234
Мангистауская,2008,407403
Павлодарская,2008,746454
СевероКазахстанская,2008,653921
Туркестанская 1,2008,2331505
Ұлытау,2008,
ВосточноКазахстанская,2008,1417384
г. Астана,2008,602684
г. Алматы,2008,1324739
г. Шымкент,2008,
Республика Казахстан ,2009,15982370
Абай,2009,
Акмолинская,2009,738827
Актюбинская,2009,756782
Алматинская,2009,1804005
Атырауская,2009,509123
ЗападноКазахстанская,2009,598342
Жамбылская,2009,1020796
Жетісу,2009,
Карагандинская,2009,1341207
Костанайская,2009,886329
Кызылординская,2009,677734
Мангистауская,2009,482631
Павлодарская,2009,742276
СевероКазахстанская,2009,597534
Туркестанская 1,2009,2462782
Ұлытау,2009,
ВосточноКазахстанская,2009,1396871
г. Астана,2009,605254
г. Алматы,2009,1361877
г. Шымкент,2009,
Республика Казахстан ,2010,16203274
Абай,2010
Акмолинская,2010,735134
Актюбинская,2010,763591
Алматинская,2010,1836162
Атырауская,2010,520988
ЗападноКазахстанская,2010,603858
Жамбылская,2010,1034487
Жетісу,2010,
Карагандинская,2010,1346822
Костанайская,2010,883379
Кызылординская,2010,689011
Мангистауская,2010,503241
Павлодарская,2010,744395
СевероКазахстанская,2010,592791
Туркестанская 1,2010,2511580
Ұлытау,2010,
ВосточноКазахстанская,2010,1398073
г. Астана,2010,649152
г. Алматы,2010,1390610
г. Шымкент,2010,
Республика Казахстан ,2011,16440470
Абай,2011,
Акмолинская,2011,733281
Актюбинская,2011,777501
Алматинская,2011,1872844
Атырауская,2011,532033
ЗападноКазахстанская,2011,608334
Жамбылская,2011,1046260
Жетісу,2011,
Карагандинская,2011,1352217
Костанайская,2011,881656
Кызылординская,2011,700511
Мангистауская,2011,524185
Павлодарская,2011,746224
СевероКазахстанская,2011,589421
Туркестанская 1,2011,2567611
Ұлытау,2011,
ВосточноКазахстанская,2011,1398078
г. Астана,2011,697162
г. Алматы,2011,1413152
г. Шымкент,2011,
Республика Казахстан ,2012,16673933
Абай,2012,
Акмолинская,2012,731399
Актюбинская,2012,786390
Алматинская,2012,1908785
Атырауская,2012,542959
ЗападноКазахстанская,2012,612581
Жамбылская,2012,1055822
Жетісу,2012,
Карагандинская,2012,1357969
Костанайская,2012,879635
Кызылординская,2012,712899
Мангистауская,2012,545789
Павлодарская,2012,747167
СевероКазахстанская,2012,583772
Туркестанская 1,2012,2621472
Ұлытау,2012,
ВосточноКазахстанская,2012,1395060
г. Астана,2012,742868
г. Алматы,2012,1449366
г. Шымкент,2012,
Республика Казахстан ,2013,16910246
Абай,2013,
Акмолинская,2013,732768
Актюбинская,2013,795871
Алматинская,2013,1946831
Атырауская,2013,555199
ЗападноКазахстанская,2013,617735
Жамбылская,2013,1069785
Жетісу,2013,
Карагандинская,2013,1362777
Костанайская,2013,880116
Кызылординская,2013,726692
Мангистауская,2013,567770
Павлодарская,2013,749201
СевероКазахстанская,2013,579700
Туркестанская 1,2013,2678739
Ұлытау,2013,
ВосточноКазахстанская,2013,1394068
г. Астана,2013,778145
г. Алматы,2013,1474849
г. Шымкент,2013,
Республика Казахстан ,2014,17160855
Абай,2014,
Акмолинская,2014,735612
Актюбинская,2014,808985
Алматинская,2014,1984572
Атырауская,2014,567831
ЗападноКазахстанская,2014,624085
Жамбылская,2014,1084369
Жетісу,2014,
Карагандинская,2014,1369658
Костанайская,2014,880968
Кызылординская,2014,739726
Мангистауская,2014,587431
Павлодарская,2014,752914
СевероКазахстанская,2014,575945
Туркестанская 1,2014,2733053
Ұлытау,2014,
ВосточноКазахстанская,2014,1394388
г. Астана,2014,814419
г. Алматы,2014,1506899
г. Шымкент,2014,
Республика Казахстан ,2015,17415715
Абай,2015,
Акмолинская,2015,736560
Актюбинская,2015,822557
Алматинская,2015,1921888
Атырауская,2015,581389
ЗападноКазахстанская,2015,630056
Жамбылская,2015,1098489
Жетісу,2015,
Карагандинская,2015,1378121
Костанайская,2015,881569
Кызылординская,2015,753001
Мангистауская,2015,606843
Павлодарская,2015,755793
СевероКазахстанская,2015,571830
Туркестанская 1,2015,2787906
Ұлытау,2015,
ВосточноКазахстанская,2015,1395466
г. Астана,2015,852803
г. Алматы,2015,1641444
г. Шымкент,2015,
Республика Казахстан ,2016,17669896
Абай,2016,
Акмолинская,2016,744420
Актюбинская,2016,834808
Алматинская,2016,1947552
Атырауская,2016,594511
ЗападноКазахстанская,2016,636980
Жамбылская,2016,1110749
Жетісу,2016,
Карагандинская,2016,1384810
Костанайская,2016,883806
Кызылординская,2016,765058
Мангистауская,2016,626774
Павлодарская,2016,758594
СевероКазахстанская,2016,569594
Туркестанская 1,2016,2840871
Ұлытау,2016,
ВосточноКазахстанская,2016,1396019
г. Астана,2016,872584
г. Алматы,2016,1702766
г. Шымкент,2016,
Республика Казахстан ,2017,17918214
Абай,2017,
Акмолинская,2017,734369
Актюбинская,2017,845679
Алматинская,2017,1983465
Атырауская,2017,607528
ЗападноКазахстанская,2017,641513
Жамбылская,2017,1115307
Жетісу,2017,
Карагандинская,2017,1382734
Костанайская,2017,879134
Кызылординская,2017,773143
Мангистауская,2017,642824
Павлодарская,2017,757014
СевероКазахстанская,2017,563300
Туркестанская 1,2017,1966336
Ұлытау,2017,
ВосточноКазахстанская,2017,1389568
г. Астана,2017,972692
г. Алматы,2017,1751308
г. Шымкент,2017,912300
Республика Казахстан ,2018,18157337
Абай,2018,
Акмолинская,2018,738942
Актюбинская,2018,857711
Алматинская,2018,2017278
Атырауская,2018,620684
ЗападноКазахстанская,2018,646927
Жамбылская,2018,1117218
Жетісу,2018,
Карагандинская,2018,1380537
Костанайская,2018,875616
Кызылординская,2018,783157
Мангистауская,2018,660317
Павлодарская,2018,754854
СевероКазахстанская,2018,558584
Туркестанская 1,2018,1977028
Ұлытау,2018,
ВосточноКазахстанская,2018,1383745
г. Астана,2018,1030577
г. Алматы,2018,1801993
г. Шымкент,2018,952169
Республика Казахстан ,2019,18395567
Абай,2019,
Акмолинская,2019,738587
Актюбинская,2019,869637
Алматинская,2019,2038935
Атырауская,2019,633791
ЗападноКазахстанская,2019,652325
Жамбылская,2019,1125440
Жетісу,2019,
Карагандинская,2019,1378532
Костанайская,2019,872795
Кызылординская,2019,794335
Мангистауская,2019,678199
Павлодарская,2019,753853
СевероКазахстанская,2019,554517
Туркестанская 1,2019,1983969
Ұлытау,2019,
ВосточноКазахстанская,2019,1378527
г. Астана,2019,1078384
г. Алматы,2019,1854656
г. Шымкент,2019,1009085
Республика Казахстан ,2020,18631779
Абай,2020,
Акмолинская,2020,736735
Актюбинская,2020,881651
Алматинская,2020,2055724
Атырауская,2020,645280
ЗападноКазахстанская,2020,656844
Жамбылская,2020,1130099
Жетісу,2020,
Карагандинская,2020,1376882
Костанайская,2020,868549
Кызылординская,2020,803531
Мангистауская,2020,698796
Павлодарская,2020,752169
СевероКазахстанская,2020,548755
Туркестанская 1,2020,2016037
Ұлытау,2020,
ВосточноКазахстанская,2020,1369597
г. Астана,2020,1136156
г. Алматы,2020,1916822
г. Шымкент,2020,1038152
Республика Казахстан ,2021,18879552
Абай,2021,
Акмолинская,2021,735566
Актюбинская,2021,894333
Алматинская,2021,2077967
Атырауская,2021,657110
ЗападноКазахстанская,2021,661316
Жамбылская,2021,1139192
Жетісу,2021,
Карагандинская,2021,1375938
Костанайская,2021,864550
Кызылординская,2021,814588
Мангистауская,2021,719571
Павлодарская,2021,751012
СевероКазахстанская,2021,543735
Туркестанская 1,2021,2044742
Ұлытау,2021,
ВосточноКазахстанская,2021,1363797
г. Астана,2021,1184411
г. Алматы,2021,1977258
г. Шымкент,2021,1074466
Республика Казахстан ,2022,19503159
Абай,2022,611888
Акмолинская,2022,785708
Актюбинская,2022,916750
Алматинская,2022,1478496
Атырауская,2022,681241
ЗападноКазахстанская,2022,683327
Жамбылская,2022,1209665
Жетісу,2022,698757
Карагандинская,2022,1134966
Костанайская,2022,835686
Кызылординская,2022,823251
Мангистауская,2022,745909
Павлодарская,2022,756511
СевероКазахстанская,2022,539111
Туркестанская 1,2022,2088510
Ұлытау,2022,220913
ВосточноКазахстанская,2022,732966
г. Астана,2022,1295711
г. Алматы,2022,2101485
г. Шымкент,2022,1162308
Республика Казахстан ,2023,19766807
Абай,2023,610205
Акмолинская,2023,788023
Актюбинская,2023,928161
Алматинская,2023,1505968
Атырауская,2023,693085
ЗападноКазахстанская,2023,688129
Жамбылская,2023,1218170
Жетісу,2023,698729
Карагандинская,2023,1134854
Костанайская,2023,832237
Кызылординская,2023,833676
Мангистауская,2023,767107
Павлодарская,2023,754949
СевероКазахстанская,2023,534108
Туркестанская 1,2023,2119320
Ұлытау,2023,221426
ВосточноКазахстанская,2023,730236
г. Астана,2023,1354507
г. Алматы,2023,2161797
г. Шымкент,2023,1192120
